disease name,lncRNA name,score,Rank
 bone remodeling disease,LINC00163,0.216,29
 bone remodeling disease,LINC00675,0.216,30
bone resorption disease,XIST,0.49,1
bone resorption disease,PCA3,0.426,2
bone resorption disease,KCNQ1OT1,0.374,3
bone resorption disease,HULC,0.368,4
bone resorption disease,HCP5,0.364,5
bone resorption disease,AFAP1-AS1,0.362,6
bone resorption disease,MIR17HG,0.352,7
bone resorption disease,LINCMD1,0.346,8
bone resorption disease,TP53COR1,0.342,9
bone resorption disease,H19,0.336,10
bone resorption disease,PVT1,0.336,11
bone resorption disease,CDKN2B-AS1,0.326,12
bone resorption disease,MEG3,0.308,13
bone resorption disease,ATXN8OS,0.306,14
bone resorption disease,GSTT1-AS1,0.302,15
bone resorption disease,HOTAIR,0.3,16
bone resorption disease,MALAT1,0.296,17
bone resorption disease,HOTTIP,0.278,18
bone resorption disease,GAS5,0.272,19
bone resorption disease,MIAT,0.268,20
bone resorption disease,ESRG,0.26,21
bone resorption disease,THRIL,0.258,22
bone resorption disease,NEAT1,0.25,23
bone resorption disease,MIR155HG,0.25,24
bone resorption disease,RMST,0.246,25
bone resorption disease,BCYRN1,0.242,26
bone resorption disease,CTBP1-AS,0.23,27
bone resorption disease,IGF2-AS,0.222,28
bone resorption disease,LINC00163,0.216,29
bone resorption disease,LINC00675,0.216,30
chromosomal disease,CDKN2B-AS1,0.964,1
chromosomal disease,MALAT1,0.95,2
chromosomal disease,HOTAIR,0.868,3
chromosomal disease,PVT1,0.846,4
chromosomal disease,MIR17HG,0.8,5
chromosomal disease,GAS5,0.788,6
chromosomal disease,MIAT,0.712,7
chromosomal disease,TUG1,0.708,8
chromosomal disease,HCP5,0.684,9
chromosomal disease,CDKN2A-AS1,0.65,10
chromosomal disease,MIR155HG,0.648,11
chromosomal disease,BCYRN1,0.624,12
chromosomal disease,ATXN8OS,0.624,13
chromosomal disease,ESRG,0.62,14
chromosomal disease,UCA1,0.62,15
chromosomal disease,PISRT1,0.618,16
chromosomal disease,IGF2-AS,0.606,17
chromosomal disease,HAR1A,0.574,18
chromosomal disease,TP53COR1,0.56,19
chromosomal disease,BANCR,0.556,20
chromosomal disease,DAOA-AS1,0.546,21
chromosomal disease,LINC00271,0.528,22
chromosomal disease,HOTTIP,0.528,23
chromosomal disease,PCA3,0.526,24
chromosomal disease,WT1-AS,0.526,25
chromosomal disease,MCHR2-AS1,0.522,26
chromosomal disease,DISC2,0.518,27
chromosomal disease,LINC00675,0.518,28
chromosomal disease,CCAT2,0.512,29
chromosomal disease,AFAP1-AS1,0.508,30
physical disorder,MALAT1,0.832,1
physical disorder,CDKN2B-AS1,0.81,2
physical disorder,MEG3,0.762,3
physical disorder,KCNQ1OT1,0.742,4
physical disorder,HOTAIR,0.72,5
physical disorder,MIR17HG,0.668,6
physical disorder,GAS5,0.582,7
physical disorder,NEAT1,0.53,8
physical disorder,XIST,0.452,9
physical disorder,HCP5,0.392,10
physical disorder,PCA3,0.35,11
physical disorder,ESRG,0.332,12
physical disorder,MIR155HG,0.304,13
physical disorder,LINC01556,0.288,14
physical disorder,AFAP1-AS1,0.284,15
physical disorder,DANCR,0.262,16
physical disorder,LINC00474,0.26,17
physical disorder,HULC,0.256,18
physical disorder,MIAT,0.246,19
physical disorder,TP53COR1,0.238,20
physical disorder,BANCR,0.238,21
physical disorder,IGF2-AS,0.236,22
physical disorder,BCYRN1,0.204,23
physical disorder,TUG1,0.196,24
physical disorder,RMST,0.188,25
physical disorder,HOTTIP,0.176,26
physical disorder,DISC2,0.17,27
physical disorder,ATXN8OS,0.164,28
physical disorder,LINC00675,0.16,29
physical disorder,EWSAT1,0.146,30
Albright's hereditary osteodystrophy,CDKN2B-AS1,0.72,1
Albright's hereditary osteodystrophy,HOTAIR,0.41,2
Albright's hereditary osteodystrophy,MEG3,0.344,3
Albright's hereditary osteodystrophy,KCNQ1OT1,0.272,4
Albright's hereditary osteodystrophy,MIR17HG,0.27,5
Albright's hereditary osteodystrophy,MALAT1,0.26,6
Albright's hereditary osteodystrophy,PVT1,0.228,7
Albright's hereditary osteodystrophy,XIST,0.212,8
Albright's hereditary osteodystrophy,PCA3,0.174,9
Albright's hereditary osteodystrophy,GAS5,0.168,10
Albright's hereditary osteodystrophy,CCDC26,0.156,11
Albright's hereditary osteodystrophy,GNAS-AS1,0.15,12
Albright's hereditary osteodystrophy,LINC00474,0.148,13
Albright's hereditary osteodystrophy,AFAP1-AS1,0.146,14
Albright's hereditary osteodystrophy,DANCR,0.146,15
Albright's hereditary osteodystrophy,LINC00163,0.12,16
Albright's hereditary osteodystrophy,NEAT1,0.096,17
Albright's hereditary osteodystrophy,DLEU2,0.096,18
Albright's hereditary osteodystrophy,GSTT1-AS1,0.092,19
Albright's hereditary osteodystrophy,MIR100HG,0.092,20
Albright's hereditary osteodystrophy,LINC01556,0.07,21
Albright's hereditary osteodystrophy,BANCR,0.064,22
Albright's hereditary osteodystrophy,PCGEM1,0.062,23
Albright's hereditary osteodystrophy,HYMAI,0.06,24
Albright's hereditary osteodystrophy,LINC00299,0.056,25
Albright's hereditary osteodystrophy,BCYRN1,0.054,26
Albright's hereditary osteodystrophy,LINC00675,0.054,27
Albright's hereditary osteodystrophy,IGF2-AS,0.048,28
Albright's hereditary osteodystrophy,HULC,0.044,29
Albright's hereditary osteodystrophy,WT1-AS,0.044,30
neural tube defect,CDKN2B-AS1,0.72,1
neural tube defect,HOTAIR,0.41,2
neural tube defect,MEG3,0.344,3
neural tube defect,KCNQ1OT1,0.272,4
neural tube defect,MIR17HG,0.27,5
neural tube defect,MALAT1,0.26,6
neural tube defect,PVT1,0.228,7
neural tube defect,XIST,0.212,8
neural tube defect,PCA3,0.174,9
neural tube defect,GAS5,0.168,10
neural tube defect,CCDC26,0.156,11
neural tube defect,GNAS-AS1,0.15,12
neural tube defect,LINC00474,0.148,13
neural tube defect,AFAP1-AS1,0.146,14
neural tube defect,DANCR,0.146,15
neural tube defect,LINC00163,0.12,16
neural tube defect,NEAT1,0.096,17
neural tube defect,DLEU2,0.096,18
neural tube defect,GSTT1-AS1,0.092,19
neural tube defect,MIR100HG,0.092,20
neural tube defect,LINC01556,0.07,21
neural tube defect,BANCR,0.064,22
neural tube defect,PCGEM1,0.062,23
neural tube defect,HYMAI,0.06,24
neural tube defect,LINC00299,0.056,25
neural tube defect,BCYRN1,0.054,26
neural tube defect,LINC00675,0.054,27
neural tube defect,IGF2-AS,0.048,28
neural tube defect,HULC,0.044,29
neural tube defect,WT1-AS,0.044,30
childhood acute lymphocytic leukemia,H19,0.81,1
childhood acute lymphocytic leukemia,MIR17HG,0.39,2
childhood acute lymphocytic leukemia,MALAT1,0.378,3
childhood acute lymphocytic leukemia,HOTAIR,0.36,4
childhood acute lymphocytic leukemia,MEG3,0.31,5
childhood acute lymphocytic leukemia,KCNQ1OT1,0.222,6
childhood acute lymphocytic leukemia,GAS5,0.216,7
childhood acute lymphocytic leukemia,XIST,0.21,8
childhood acute lymphocytic leukemia,PCA3,0.186,9
childhood acute lymphocytic leukemia,CCDC26,0.164,10
childhood acute lymphocytic leukemia,DANCR,0.152,11
childhood acute lymphocytic leukemia,DLEU2,0.14,12
childhood acute lymphocytic leukemia,LINC00163,0.128,13
childhood acute lymphocytic leukemia,PVT1,0.118,14
childhood acute lymphocytic leukemia,MIR100HG,0.116,15
childhood acute lymphocytic leukemia,HYMAI,0.11,16
childhood acute lymphocytic leukemia,RMST,0.104,17
childhood acute lymphocytic leukemia,HULC,0.098,18
childhood acute lymphocytic leukemia,AFAP1-AS1,0.09,19
childhood acute lymphocytic leukemia,DISC2,0.09,20
childhood acute lymphocytic leukemia,GSTT1-AS1,0.09,21
childhood acute lymphocytic leukemia,TP53COR1,0.088,22
childhood acute lymphocytic leukemia,BCYRN1,0.084,23
childhood acute lymphocytic leukemia,BANCR,0.078,24
childhood acute lymphocytic leukemia,ESRG,0.076,25
childhood acute lymphocytic leukemia,MIAT,0.076,26
childhood acute lymphocytic leukemia,PCGEM1,0.076,27
childhood acute lymphocytic leukemia,CDKN2A-AS1,0.064,28
childhood acute lymphocytic leukemia,WT1-AS,0.064,29
childhood acute lymphocytic leukemia,MIR155HG,0.06,30
B-cell childhood acute lymphoblastic leukemia,H19,0.81,1
B-cell childhood acute lymphoblastic leukemia,MIR17HG,0.39,2
B-cell childhood acute lymphoblastic leukemia,MALAT1,0.378,3
B-cell childhood acute lymphoblastic leukemia,HOTAIR,0.36,4
B-cell childhood acute lymphoblastic leukemia,MEG3,0.31,5
B-cell childhood acute lymphoblastic leukemia,KCNQ1OT1,0.222,6
B-cell childhood acute lymphoblastic leukemia,GAS5,0.216,7
B-cell childhood acute lymphoblastic leukemia,XIST,0.21,8
B-cell childhood acute lymphoblastic leukemia,PCA3,0.186,9
B-cell childhood acute lymphoblastic leukemia,CCDC26,0.164,10
B-cell childhood acute lymphoblastic leukemia,DANCR,0.152,11
B-cell childhood acute lymphoblastic leukemia,DLEU2,0.14,12
B-cell childhood acute lymphoblastic leukemia,LINC00163,0.128,13
B-cell childhood acute lymphoblastic leukemia,PVT1,0.118,14
B-cell childhood acute lymphoblastic leukemia,MIR100HG,0.116,15
B-cell childhood acute lymphoblastic leukemia,HYMAI,0.11,16
B-cell childhood acute lymphoblastic leukemia,RMST,0.104,17
B-cell childhood acute lymphoblastic leukemia,HULC,0.098,18
B-cell childhood acute lymphoblastic leukemia,AFAP1-AS1,0.09,19
B-cell childhood acute lymphoblastic leukemia,DISC2,0.09,20
B-cell childhood acute lymphoblastic leukemia,GSTT1-AS1,0.09,21
B-cell childhood acute lymphoblastic leukemia,TP53COR1,0.088,22
B-cell childhood acute lymphoblastic leukemia,BCYRN1,0.084,23
B-cell childhood acute lymphoblastic leukemia,BANCR,0.078,24
B-cell childhood acute lymphoblastic leukemia,ESRG,0.076,25
B-cell childhood acute lymphoblastic leukemia,MIAT,0.076,26
B-cell childhood acute lymphoblastic leukemia,PCGEM1,0.076,27
B-cell childhood acute lymphoblastic leukemia,CDKN2A-AS1,0.064,28
B-cell childhood acute lymphoblastic leukemia,WT1-AS,0.064,29
B-cell childhood acute lymphoblastic leukemia,MIR155HG,0.06,30
retinitis pigmentosa 11,PISRT1,0.866,1
retinitis pigmentosa 11,MIR100HG,0.712,2
retinitis pigmentosa 11,MIAT,0.698,3
retinitis pigmentosa 11,ATXN8OS,0.696,4
retinitis pigmentosa 11,BCYRN1,0.648,5
retinitis pigmentosa 11,LINCMD1,0.624,6
retinitis pigmentosa 11,ESRG,0.616,7
retinitis pigmentosa 11,CDKN2A-AS1,0.616,8
retinitis pigmentosa 11,HAR1A,0.602,9
retinitis pigmentosa 11,TP53COR1,0.574,10
retinitis pigmentosa 11,CDKN2B-AS1,0.574,11
retinitis pigmentosa 11,DAOA-AS1,0.564,12
retinitis pigmentosa 11,MCHR2-AS1,0.56,13
retinitis pigmentosa 11,XIST,0.55,14
retinitis pigmentosa 11,MIR155HG,0.536,15
retinitis pigmentosa 11,H19,0.512,16
retinitis pigmentosa 11,HCP5,0.508,17
retinitis pigmentosa 11,LINC00271,0.498,18
retinitis pigmentosa 11,DISC2,0.472,19
retinitis pigmentosa 11,AFAP1-AS1,0.47,20
retinitis pigmentosa 11,KCNQ1OT1,0.47,21
retinitis pigmentosa 11,LINC01080,0.466,22
retinitis pigmentosa 11,HCG9,0.458,23
retinitis pigmentosa 11,PCA3,0.454,24
retinitis pigmentosa 11,NRON,0.446,25
retinitis pigmentosa 11,MEG3,0.438,26
retinitis pigmentosa 11,MALAT1,0.43,27
retinitis pigmentosa 11,TUG1,0.42,28
retinitis pigmentosa 11,SOX2-OT,0.4,29
retinitis pigmentosa 11,PVT1,0.4,30
intestinal cancer,CDKN2B-AS1,0.942,1
intestinal cancer,SPRY4-IT1,0.936,2
intestinal cancer,WT1-AS,0.894,3
intestinal cancer,MIR17HG,0.87,4
intestinal cancer,LINC00675,0.868,5
intestinal cancer,PCAT1,0.864,6
intestinal cancer,HNF1A-AS1,0.814,7
intestinal cancer,IGF2-AS,0.8,8
intestinal cancer,SOX2-OT,0.786,9
intestinal cancer,BCYRN1,0.766,10
intestinal cancer,GACAT2,0.754,11
intestinal cancer,PCA3,0.738,12
intestinal cancer,HCP5,0.738,13
intestinal cancer,PANDAR,0.724,14
intestinal cancer,MIR155HG,0.714,15
intestinal cancer,SNHG12,0.71,16
intestinal cancer,SNHG1,0.702,17
intestinal cancer,KIRREL3-AS3,0.658,18
intestinal cancer,DLEU2,0.656,19
intestinal cancer,DISC2,0.642,20
intestinal cancer,MIR100HG,0.632,21
intestinal cancer,EWSAT1,0.616,22
intestinal cancer,CTBP1-AS,0.612,23
intestinal cancer,ZEB1-AS1,0.612,24
intestinal cancer,LINC01133,0.604,25
intestinal cancer,CBR3-AS1,0.594,26
intestinal cancer,TINCR,0.59,27
intestinal cancer,LINC00961,0.584,28
intestinal cancer,HCG4,0.566,29
intestinal cancer,LINC-ROR,0.558,30
prostate cancer,XIST,0.97,1
prostate cancer,CCAT1,0.902,2
prostate cancer,CCAT2,0.874,3
prostate cancer,CBR3-AS1,0.864,4
prostate cancer,BANCR,0.852,5
prostate cancer,TP53COR1,0.846,6
prostate cancer,TDRG1,0.838,7
prostate cancer,LSINCT5,0.824,8
prostate cancer,WT1-AS,0.824,9
prostate cancer,TUSC7,0.814,10
prostate cancer,MIR17HG,0.81,11
prostate cancer,AFAP1-AS1,0.81,12
prostate cancer,SPRY4-IT1,0.806,13
prostate cancer,LINC00961,0.8,14
prostate cancer,HOTAIRM1,0.8,15
prostate cancer,MIR155HG,0.772,16
prostate cancer,LINC00675,0.772,17
prostate cancer,BCYRN1,0.77,18
prostate cancer,CASC2,0.768,19
prostate cancer,HCG27,0.766,20
prostate cancer,GHET1,0.758,21
prostate cancer,TUSC8,0.75,22
prostate cancer,SNHG4,0.744,23
prostate cancer,HOXA11-AS,0.734,24
prostate cancer,SNHG12,0.734,25
prostate cancer,LINC00474,0.728,26
prostate cancer,CASC16,0.72,27
prostate cancer,LINC00583,0.72,28
prostate cancer,HCP5,0.716,29
prostate cancer,MIR503HG,0.704,30
prostate carcinoma,PCGEM1,0.486,1
prostate carcinoma,DANCR,0.466,2
prostate carcinoma,LINCMD1,0.374,3
prostate carcinoma,THRIL,0.374,4
prostate carcinoma,ATXN8OS,0.37,5
prostate carcinoma,IGF2-AS,0.37,6
prostate carcinoma,XIST,0.36,7
prostate carcinoma,GSTT1-AS1,0.358,8
prostate carcinoma,RMST,0.354,9
prostate carcinoma,HULC,0.34,10
prostate carcinoma,MIF-AS1,0.338,11
prostate carcinoma,CTBP1-AS,0.334,12
prostate carcinoma,HCP5,0.33,13
prostate carcinoma,LINC00474,0.32,14
prostate carcinoma,PVT1,0.318,15
prostate carcinoma,LINC00163,0.316,16
prostate carcinoma,TP53TG1,0.314,17
prostate carcinoma,KCNQ1OT1,0.312,18
prostate carcinoma,GNAS-AS1,0.298,19
prostate carcinoma,DISC2,0.296,20
prostate carcinoma,HYMAI,0.294,21
prostate carcinoma,LINC01556,0.282,22
prostate carcinoma,LINC00299,0.282,23
prostate carcinoma,TP53COR1,0.28,24
prostate carcinoma,CCDC26,0.28,25
prostate carcinoma,AFAP1-AS1,0.276,26
prostate carcinoma,CDKN2B-AS1,0.272,27
prostate carcinoma,MCHR2-AS1,0.268,28
prostate carcinoma,IL12A-AS1,0.268,29
prostate carcinoma,MIAT,0.264,30
blepharophimosis,LINCMD1,0.552,1
blepharophimosis,ATXN8OS,0.498,2
blepharophimosis,THRIL,0.484,3
blepharophimosis,IL12A-AS1,0.404,4
blepharophimosis,DAOA-AS1,0.384,5
blepharophimosis,MIF-AS1,0.37,6
blepharophimosis,TP53TG1,0.366,7
blepharophimosis,MIR100HG,0.364,8
blepharophimosis,ESRG,0.362,9
blepharophimosis,MIAT,0.36,10
blepharophimosis,GSTT1-AS1,0.35,11
blepharophimosis,MCHR2-AS1,0.332,12
blepharophimosis,CDKN2A-AS1,0.332,13
blepharophimosis,XIST,0.318,14
blepharophimosis,TP53COR1,0.316,15
blepharophimosis,PWAR4,0.316,16
blepharophimosis,DISC2,0.314,17
blepharophimosis,NRON,0.31,18
blepharophimosis,PCA3,0.298,19
blepharophimosis,DANCR,0.292,20
blepharophimosis,DLEU2,0.29,21
blepharophimosis,BCYRN1,0.284,22
blepharophimosis,HAR1A,0.266,23
blepharophimosis,GNAS-AS1,0.248,24
blepharophimosis,CCDC26,0.248,25
blepharophimosis,LINC00299,0.244,26
blepharophimosis,HYMAI,0.236,27
blepharophimosis,LINC00474,0.236,28
blepharophimosis,HCG9,0.234,29
blepharophimosis,AFAP1-AS1,0.228,30
chronic leukemia,CDKN2B-AS1,0.49,1
chronic leukemia,H19,0.484,2
chronic leukemia,MIR17HG,0.418,3
chronic leukemia,PVT1,0.388,4
chronic leukemia,CCDC26,0.364,5
chronic leukemia,XIST,0.358,6
chronic leukemia,MALAT1,0.354,7
chronic leukemia,HOTAIR,0.346,8
chronic leukemia,MEG3,0.334,9
chronic leukemia,PCA3,0.3,10
chronic leukemia,DANCR,0.294,11
chronic leukemia,KCNQ1OT1,0.288,12
chronic leukemia,TP53COR1,0.286,13
chronic leukemia,MIR100HG,0.258,14
chronic leukemia,LINCMD1,0.254,15
chronic leukemia,GAS5,0.246,16
chronic leukemia,HULC,0.244,17
chronic leukemia,ESRG,0.244,18
chronic leukemia,AFAP1-AS1,0.24,19
chronic leukemia,LINC01556,0.224,20
chronic leukemia,MIR155HG,0.222,21
chronic leukemia,HCP5,0.22,22
chronic leukemia,NEAT1,0.216,23
chronic leukemia,THRIL,0.214,24
chronic leukemia,ATXN8OS,0.212,25
chronic leukemia,WT1-AS,0.2,26
chronic leukemia,LINC00163,0.196,27
chronic leukemia,IL12A-AS1,0.196,28
chronic leukemia,MIF-AS1,0.188,29
chronic leukemia,NRON,0.188,30
lymphocytic leukemia,MALAT1,0.972,1
lymphocytic leukemia,H19,0.966,2
lymphocytic leukemia,PVT1,0.952,3
lymphocytic leukemia,GAS5,0.946,4
lymphocytic leukemia,HOTAIR,0.946,5
lymphocytic leukemia,MEG3,0.876,6
lymphocytic leukemia,KCNQ1OT1,0.848,7
lymphocytic leukemia,XIST,0.836,8
lymphocytic leukemia,TUG1,0.8,9
lymphocytic leukemia,HCP5,0.794,10
lymphocytic leukemia,BANCR,0.754,11
lymphocytic leukemia,ESRG,0.754,12
lymphocytic leukemia,MIAT,0.736,13
lymphocytic leukemia,HULC,0.69,14
lymphocytic leukemia,UCA1,0.654,15
lymphocytic leukemia,ATXN8OS,0.652,16
lymphocytic leukemia,WT1-AS,0.64,17
lymphocytic leukemia,CDKN2A-AS1,0.624,18
lymphocytic leukemia,AFAP1-AS1,0.614,19
lymphocytic leukemia,MIR100HG,0.61,20
lymphocytic leukemia,LINCMD1,0.598,21
lymphocytic leukemia,BCYRN1,0.59,22
lymphocytic leukemia,LINC00675,0.57,23
lymphocytic leukemia,IGF2-AS,0.556,24
lymphocytic leukemia,HOTTIP,0.538,25
lymphocytic leukemia,PCA3,0.504,26
lymphocytic leukemia,DISC2,0.498,27
lymphocytic leukemia,PISRT1,0.496,28
lymphocytic leukemia,CCAT2,0.49,29
lymphocytic leukemia,SPRY4-IT1,0.456,30
bacterial infectious disease,MIF-AS1,0.55,1
bacterial infectious disease,THRIL,0.492,2
bacterial infectious disease,LINC00163,0.374,3
bacterial infectious disease,IL12A-AS1,0.372,4
bacterial infectious disease,NRON,0.358,5
bacterial infectious disease,DANCR,0.342,6
bacterial infectious disease,LINC00299,0.34,7
bacterial infectious disease,XIST,0.33,8
bacterial infectious disease,GNAS-AS1,0.322,9
bacterial infectious disease,LINCMD1,0.312,10
bacterial infectious disease,TP53TG1,0.306,11
bacterial infectious disease,ATXN8OS,0.284,12
bacterial infectious disease,DLEU2,0.28,13
bacterial infectious disease,LINC01556,0.276,14
bacterial infectious disease,PCA3,0.266,15
bacterial infectious disease,CCDC26,0.26,16
bacterial infectious disease,TP53COR1,0.248,17
bacterial infectious disease,AFAP1-AS1,0.244,18
bacterial infectious disease,ESRG,0.234,19
bacterial infectious disease,HULC,0.216,20
bacterial infectious disease,DISC2,0.214,21
bacterial infectious disease,PISRT1,0.196,22
bacterial infectious disease,MIAT,0.188,23
bacterial infectious disease,PVT1,0.186,24
bacterial infectious disease,H19,0.184,25
bacterial infectious disease,RMST,0.18,26
bacterial infectious disease,PWAR4,0.178,27
bacterial infectious disease,CDKN2B-AS1,0.174,28
bacterial infectious disease,BCYRN1,0.17,29
bacterial infectious disease,MIR100HG,0.17,30
chronic lymphocytic leukemia,CDKN2B-AS1,0.93,1
chronic lymphocytic leukemia,PVT1,0.928,2
chronic lymphocytic leukemia,GAS5,0.926,3
chronic lymphocytic leukemia,MALAT1,0.922,4
chronic lymphocytic leukemia,H19,0.91,5
chronic lymphocytic leukemia,HOTAIR,0.898,6
chronic lymphocytic leukemia,KCNQ1OT1,0.814,7
chronic lymphocytic leukemia,MEG3,0.806,8
chronic lymphocytic leukemia,HCP5,0.802,9
chronic lymphocytic leukemia,XIST,0.774,10
chronic lymphocytic leukemia,BANCR,0.748,11
chronic lymphocytic leukemia,MIAT,0.738,12
chronic lymphocytic leukemia,TUG1,0.722,13
chronic lymphocytic leukemia,ESRG,0.7,14
chronic lymphocytic leukemia,HULC,0.638,15
chronic lymphocytic leukemia,AFAP1-AS1,0.59,16
chronic lymphocytic leukemia,LINCMD1,0.588,17
chronic lymphocytic leukemia,CDKN2A-AS1,0.584,18
chronic lymphocytic leukemia,ATXN8OS,0.58,19
chronic lymphocytic leukemia,MIR100HG,0.558,20
chronic lymphocytic leukemia,WT1-AS,0.532,21
chronic lymphocytic leukemia,LINC00675,0.518,22
chronic lymphocytic leukemia,BCYRN1,0.5,23
chronic lymphocytic leukemia,UCA1,0.498,24
chronic lymphocytic leukemia,PCA3,0.488,25
chronic lymphocytic leukemia,NRON,0.482,26
chronic lymphocytic leukemia,IGF2-AS,0.468,27
chronic lymphocytic leukemia,PISRT1,0.464,28
chronic lymphocytic leukemia,HOTTIP,0.456,29
chronic lymphocytic leukemia,DISC2,0.44,30
stomach cancer,MALAT1,1,1
stomach cancer,XIST,0.952,2
stomach cancer,NEAT1,0.948,3
stomach cancer,CCAT2,0.946,4
stomach cancer,TUG1,0.92,5
stomach cancer,KCNQ1OT1,0.918,6
stomach cancer,HOTTIP,0.84,7
stomach cancer,WT1-AS,0.822,8
stomach cancer,HNF1A-AS1,0.794,9
stomach cancer,HULC,0.79,10
stomach cancer,MIR17HG,0.784,11
stomach cancer,CRNDE,0.776,12
stomach cancer,NPTN-IT1,0.77,13
stomach cancer,LINC00675,0.756,14
stomach cancer,KIRREL3-AS3,0.752,15
stomach cancer,TP53COR1,0.734,16
stomach cancer,BCYRN1,0.732,17
stomach cancer,HOTAIRM1,0.732,18
stomach cancer,AFAP1-AS1,0.722,19
stomach cancer,LINC01133,0.708,20
stomach cancer,SNHG4,0.7,21
stomach cancer,CASC2,0.698,22
stomach cancer,IGF2-AS,0.692,23
stomach cancer,SNHG12,0.692,24
stomach cancer,MIR155HG,0.658,25
stomach cancer,CASC16,0.644,26
stomach cancer,LINC00583,0.644,27
stomach cancer,EWSAT1,0.64,28
stomach cancer,NPSR1-AS1,0.64,29
stomach cancer,PCAT1,0.622,30
retinitis pigmentosa,PISRT1,0.866,1
retinitis pigmentosa,MIR100HG,0.712,2
retinitis pigmentosa,MIAT,0.698,3
retinitis pigmentosa,ATXN8OS,0.696,4
retinitis pigmentosa,BCYRN1,0.648,5
retinitis pigmentosa,LINCMD1,0.624,6
retinitis pigmentosa,ESRG,0.616,7
retinitis pigmentosa,CDKN2A-AS1,0.616,8
retinitis pigmentosa,HAR1A,0.602,9
retinitis pigmentosa,TP53COR1,0.574,10
retinitis pigmentosa,CDKN2B-AS1,0.574,11
retinitis pigmentosa,DAOA-AS1,0.564,12
retinitis pigmentosa,MCHR2-AS1,0.56,13
retinitis pigmentosa,XIST,0.55,14
retinitis pigmentosa,MIR155HG,0.536,15
retinitis pigmentosa,H19,0.512,16
retinitis pigmentosa,HCP5,0.508,17
retinitis pigmentosa,LINC00271,0.498,18
retinitis pigmentosa,DISC2,0.472,19
retinitis pigmentosa,AFAP1-AS1,0.47,20
retinitis pigmentosa,KCNQ1OT1,0.47,21
retinitis pigmentosa,LINC01080,0.466,22
retinitis pigmentosa,HCG9,0.458,23
retinitis pigmentosa,PCA3,0.454,24
retinitis pigmentosa,NRON,0.446,25
retinitis pigmentosa,MEG3,0.438,26
retinitis pigmentosa,MALAT1,0.43,27
retinitis pigmentosa,TUG1,0.42,28
retinitis pigmentosa,SOX2-OT,0.4,29
retinitis pigmentosa,PVT1,0.4,30
intellectual disability,TP53TG1,0.604,1
intellectual disability,LINC00163,0.592,2
intellectual disability,GSTT1-AS1,0.578,3
intellectual disability,THRIL,0.57,4
intellectual disability,MIF-AS1,0.564,5
intellectual disability,PWAR4,0.466,6
intellectual disability,GNAS-AS1,0.424,7
intellectual disability,IL12A-AS1,0.422,8
intellectual disability,DANCR,0.376,9
intellectual disability,DAOA-AS1,0.358,10
intellectual disability,PCA3,0.334,11
intellectual disability,LINCMD1,0.33,12
intellectual disability,XIST,0.326,13
intellectual disability,DISC2,0.318,14
intellectual disability,NRON,0.306,15
intellectual disability,MCHR2-AS1,0.304,16
intellectual disability,ATXN8OS,0.304,17
intellectual disability,LINC01556,0.3,18
intellectual disability,RMST,0.296,19
intellectual disability,SNHG11,0.286,20
intellectual disability,CCDC26,0.268,21
intellectual disability,IFNG-AS1,0.26,22
intellectual disability,PISRT1,0.258,23
intellectual disability,MIAT,0.258,24
intellectual disability,LINC00474,0.252,25
intellectual disability,ESRG,0.232,26
intellectual disability,HCG9,0.23,27
intellectual disability,HYMAI,0.23,28
intellectual disability,DSCR10,0.228,29
intellectual disability,MESTIT1,0.228,30
pre-eclampsia,HOTAIR,0.86,1
pre-eclampsia,CDKN2B-AS1,0.81,2
pre-eclampsia,MEG3,0.764,3
pre-eclampsia,KCNQ1OT1,0.73,4
pre-eclampsia,MIR17HG,0.686,5
pre-eclampsia,PVT1,0.664,6
pre-eclampsia,GAS5,0.536,7
pre-eclampsia,NEAT1,0.484,8
pre-eclampsia,XIST,0.348,9
pre-eclampsia,ESRG,0.334,10
pre-eclampsia,HCP5,0.332,11
pre-eclampsia,MIR155HG,0.32,12
pre-eclampsia,AFAP1-AS1,0.298,13
pre-eclampsia,PCA3,0.282,14
pre-eclampsia,BANCR,0.254,15
pre-eclampsia,TP53COR1,0.248,16
pre-eclampsia,LINC01556,0.246,17
pre-eclampsia,MIAT,0.236,18
pre-eclampsia,GNAS-AS1,0.226,19
pre-eclampsia,HULC,0.224,20
pre-eclampsia,LINC00474,0.222,21
pre-eclampsia,DANCR,0.216,22
pre-eclampsia,IGF2-AS,0.198,23
pre-eclampsia,BCYRN1,0.186,24
pre-eclampsia,LINC00675,0.164,25
pre-eclampsia,TUG1,0.16,26
pre-eclampsia,ATXN8OS,0.16,27
pre-eclampsia,DISC2,0.16,28
pre-eclampsia,LINCMD1,0.144,29
pre-eclampsia,GSTT1-AS1,0.144,30
Alzheimer's disease,XIST,0.846,1
Alzheimer's disease,MIAT,0.838,2
Alzheimer's disease,MIR100HG,0.814,3
Alzheimer's disease,H19,0.812,4
Alzheimer's disease,PISRT1,0.804,5
Alzheimer's disease,MEG3,0.8,6
Alzheimer's disease,PVT1,0.792,7
Alzheimer's disease,LINC00271,0.774,8
Alzheimer's disease,MALAT1,0.77,9
Alzheimer's disease,TUG1,0.768,10
Alzheimer's disease,DAOA-AS1,0.768,11
Alzheimer's disease,TP53COR1,0.742,12
Alzheimer's disease,IFNG-AS1,0.742,13
